ID_BCT_O,ID_ANPR,CALLE,ESQUINA / ENTRE CALLES,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO,FECHA_INSTALACIÓN,FASE2019,FASE_ORIGEN
MT14966,0,EJE 8,EJE CENTRAL,PORTALES SUR,#N/A,PORTALES,BENITO JUAREZ,SUR,19.361259,-99.15158382,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14967,0,EJE CENTRAL LAZARO CARDENAS,ENTRE AV POPOCATÉPETL Y AV PIRINEOS,PORTALES SUR,#N/A,PORTALES,BENITO JUAREZ,SUR,19.361734,-99.15126,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14968,0,EJE CENTRAL LAZARO CARDENAS,ENTRE AV POPOCATÉPETL Y AV PIRINEOS,PORTALES SUR,#N/A,PORTALES,BENITO JUAREZ,SUR,19.361759,-99.151485,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14969,0,MUNICIPIO LIBRE,UXMAL,RESIDENCIAL EMPERADORES,#N/A,PORTALES,BENITO JUAREZ,SUR,19.370564,-99.158651,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14970,0,MUNICIPIO LIBRE,ENTRE UXMAL E IXCATEOPAN,SANTA CRUZ ATOYAC,#N/A,PORTALES,BENITO JUAREZ,SUR,19.370773,-99.159042,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14971,0,MUNICIPIO LIBRE,ENTRE XOCHICALCO Y UXMAL,SANTA CRUZ ATOYAC,#N/A,PORTALES,BENITO JUAREZ,SUR,19.370647,-99.158346,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14972,0,AV. FÉLIX CUEVAS,ENTRE ANICETO ORTEGA Y NICOLAS SAN JUAN,DEL VALLE SUR,#N/A,DEL VALLE,BENITO JUAREZ,SUR,19.371171,-99.166803,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14973,0,AV. FÉLIX CUEVAS,ENTRE ANICETO ORTEGA Y NICOLAS SAN JUAN,DEL VALLE SUR,#N/A,DEL VALLE,BENITO JUAREZ,SUR,19.370999,-99.166894,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14974,0,AV. FÉLIX CUEVAS,ENTRE AV. UNIVERSIDAD Y CDA JUAN SANCHEZ AZCONA,DEL VALLE SUR,#N/A,DEL VALLE,BENITO JUAREZ,SUR,19.370647,-99.165316,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14975,0,AV. FÉLIX CUEVAS,HERIBERTO FRÍASD,DEL VALLE SUR,#N/A,DEL VALLE,BENITO JUAREZ,SUR,19.3708,-99.165193,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14976,0,AV. UNIVERSIDAD,MUNICIPIO LIBRE,SANTA CRUZ ATOYAC,#N/A,PORTALES,BENITO JUAREZ,SUR,19.370499,-99.164763,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14977,0,AV. FÉLIX CUEVAS,RECREO,DEL VALLE SUR,#N/A,DEL VALLE,BENITO JUAREZ,SUR,19.37318,-99.177176,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14978,0,AV FELIX CUEVAS,ENTRE FRESA Y TEJOCOTE,TLACOQUEMECATL,#N/A,DEL VALLE,BENITO JUAREZ,SUR,19.37339326,-99.17711982,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14979,0,AV. FÉLIX CUEVAS,ENTRE MANZANAS E INSURGENTES SUR,TLACOQUEMECATL,#N/A,DEL VALLE,BENITO JUAREZ,SUR,19.373705,-99.178524,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14980,0,AV. FÉLIX CUEVAS,ENTRE OSO E INSURGENTES SUR,DEL VALLE SUR,#N/A,DEL VALLE,BENITO JUAREZ,SUR,19.373536,-99.178579,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14981,0,CALLE DE EMPRESA,ENTRE AVENIDA PATRIOTISMO Y POUSSIN,SAN JUAN,#N/A,NAPOLES,BENITO JUAREZ,SUR,19.376118,-99.186277,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14982,0,CALLE DE EMPRESA,ENTRE AVENIDA PATRIOTISMO Y AV. REVOLUCIÓN,INSURGENTES MIXCOAC,#N/A,NAPOLES,BENITO JUAREZ,SUR,19.376203,-99.18684,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14984,0,AV. PATRIOTISMO (CIRCUITO INTERIOR),AV. EXTREMADURA,INSURGENTES MIXCOAC,#N/A,NAPOLES,BENITO JUAREZ,SUR,19.375529,-99.186722,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14985,0,AV 608,ENTRE AV 661 Y AV. 412,SAN JUAN DE ARAGON IV SECCION,#N/A,ARAGON,GUSTAVO A. MADERO,NORTE,19.46129,-99.061241,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14986,0,AV 608,ENTRE CALLE 1561 Y AV 661,SAN JUAN DE ARAGON IV SECCION,#N/A,ARAGON,GUSTAVO A. MADERO,NORTE,19.46196,-99.061489,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14987,0,AV 608,AV 508,SAN JUAN DE ARAGON III SECCION,#N/A,ARAGON,GUSTAVO A. MADERO,NORTE,19.451006,-99.078765,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14988,0,AV 608,AV 508,SAN JUAN DE ARAGON IV SECCION,#N/A,ARAGON,GUSTAVO A. MADERO,NORTE,19.451488,-99.07906,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14989,0,AV OCEANIA,AV CIRCUITO INTERIOR,PENSADOR MEXICANO,#N/A,MOCTEZUMA,VENUSTIANO CARRANZA,NORTE,19.445196,-99.087418,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14990,0,CTO. INTERIOIR,AV. OCEANIA,PENSADOR MEXICANO,#N/A,MOCTEZUMA,VENUSTIANO CARRANZA,NORTE,19.44581298,-99.08662425,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14991,0,AV OCEANIA,AV CIRCUITO INTERIOR,SAN JUAN DE ARAGON I SECCION,#N/A,ARAGON,GUSTAVO A. MADERO,NORTE,19.446218,-99.086929,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14992,0,AV OCEANIA,ENTRE CALLE PEKIN Y MARRUECOS,ROMERO RUBIO,#N/A,MOCTEZUMA,VENUSTIANO CARRANZA,NORTE,19.440828,-99.094712,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14993,0,AV OCEANIA,ORIENTE 158,MOCTEZUMA 2DA SECCION,#N/A,MOCTEZUMA,VENUSTIANO CARRANZA,NORTE,19.440428,-99.094536,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14994,0,AV. OCEANIA,ENTRE OTE 158 Y AV. DEL PEÑON,MOCTEZUMA 2DA SECCION,#N/A,MOCTEZUMA,VENUSTIANO CARRANZA,NORTE,19.44078332,-99.09377996,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14995,0,AV OCEANIA,ENTRE NORTE 25 Y NORTE 29,MOCTEZUMA 2DA SECCION,#N/A,MOCTEZUMA,VENUSTIANO CARRANZA,NORTE,19.436472,-99.103312,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14996,0,AV OCEANIA,NORTE 25,MOCTEZUMA 2DA SECCION,#N/A,MOCTEZUMA,VENUSTIANO CARRANZA,NORTE,19.436249,-99.103819,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14997,0,ARTILLEROS , SALIDA AL PARADERO,7 DE JULIO,#N/A,CONGRESO,VENUSTIANO CARRANZA,NORTE,19.431696,-99.113808,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
